gene_id,24C,24N,27C,27N,29C,29N,30C,30N,31C,31N,32C,32N,33C,33N,34C,34N,35c,35N,36C,36N,37C,37N,38C,38N,39C,39N,41C,41N,42C,42N,43C,43N,46C,46N,47C,47N,49C,49N,50C,50N,51C,51N,53C,53N
ENSG00000013810,1813,1550,1341,618,2792,168,2002,353,3018,652,2898,501,1191,537,1954,351,2232,751,520,383,1257,682,762,516,901,373,2957,615,2310,357,438,522,3665,381,2696,496,2374,801,2283,1169,2059,973,2254,442
ENSG00000014123,4484,3800,2217,2793,3933,2165,2213,3479,3429,2921,3025,3747,3285,2066,5612,2861,2477,2665,2538,2335,3114,2896,1114,2571,2136,1629,4740,2594,3972,3455,3655,2149,4222,3460,2892,1919,4461,2426,1937,799,4098,2805,3505,2270
ENSG00000014138,374,163,175,71,227,40,181,86,543,103,334,111,203,86,255,83,248,181,275,81,585,153,153,87,167,61,326,120,344,65,60,61,418,92,485,77,406,165,298,84,291,112,342,64
ENSG00000014164,1031,1005,713,642,958,238,847,705,1565,827,847,717,667,796,888,1199,589,479,607,563,391,361,246,767,360,546,593,734,466,464,644,484,1878,760,1427,1079,728,603,683,981,563,904,1322,530
ENSG00000014216,7666,10403,8963,10322,5377,3661,6343,10930,6421,8103,9468,14027,7273,14947,10606,10843,5467,6222,5273,5634,3239,5589,2225,13597,3193,7255,10663,9193,5338,8720,6242,5606,9627,6161,12918,14781,6549,8052,6181,4197,8061,11996,8739,5955
ENSG00000014257,7,374,110,60,896,168,225,206,21,304,338,260,1403,511,1379,276,78,140,355,263,20,545,160,89,424,474,253,331,341,1117,239,639,435,259,28,149,134,223,9,94,954,153,381,161
ENSG00000014641,5867,8871,6058,7531,5632,16457,3971,8734,5264,9064,6238,8713,8777,6470,6895,5748,4934,10251,3847,5249,19090,8479,9412,8037,8614,5576,9821,7101,6099,4561,4440,5883,7921,8066,5837,8712,12200,8167,4137,4599,5200,9090,5406,4433
ENSG00000014824,4999,5627,4390,5631,4915,8160,3231,5788,5113,5146,5530,6209,7166,4384,6456,3795,5472,4629,4377,3423,7278,4991,5135,5081,5737,3242,8711,3815,6188,5233,5577,3432,6431,4469,5015,3791,7443,5122,2997,1381,4335,4702,6884,3094
ENSG00000014914,1737,9299,4027,7351,2830,6109,1332,9878,6772,5342,1814,7416,3689,6000,5939,7638,4175,4849,2736,3988,6003,3884,1960,6493,4006,3068,5035,6483,3475,3901,2500,4097,12691,6187,2269,6269,4472,12063,1707,2524,3428,7290,4444,4514
ENSG00000014919,1591,1611,1177,1324,1210,1129,930,1582,2178,1483,1328,1569,1176,1077,1046,903,977,1321,1249,946,2002,1166,773,1520,797,580,1092,1516,1250,926,1231,801,2442,1286,1958,1552,2367,1474,884,730,1454,1678,1826,935
ENSG00000015133,1487,3892,2092,3341,2913,684,1751,3586,2544,2219,1655,3883,1879,2746,1670,3009,998,1159,771,1692,650,1694,473,4555,774,1318,1487,3013,1499,2402,1524,1284,2985,2221,1297,4348,1402,2862,1287,1294,2426,4811,1325,1882
ENSG00000015153,922,613,756,404,814,642,523,496,1305,538,844,584,526,397,839,406,666,624,637,353,1344,374,691,444,1299,394,1239,534,899,523,663,496,1032,548,1110,661,1683,546,734,461,644,596,999,348
ENSG00000015171,4171,3325,2388,3016,3248,2078,2430,2544,4183,4324,3776,3586,2922,2142,2807,2344,3276,5002,2271,2222,1922,2109,1566,2358,4119,2344,5018,3000,3834,2639,4419,3173,4621,5164,3732,3395,4542,3165,3554,2700,3030,3335,3441,1520
ENSG00000015285,145,502,253,304,544,81,631,267,448,289,360,329,816,428,89,275,86,248,195,264,98,221,62,281,134,220,172,525,180,134,35,209,189,276,198,1111,506,336,98,3040,575,583,203,161
ENSG00000015413,4009,14,7720,131,4286,46,6500,204,8908,17,15043,69,184,25,17710,43,13751,23,13595,4,7164,13,1395,83,18318,3,4274,68,5639,22,283,7,12699,19,20902,30,6044,103,1139,48,553,572,1344,20
ENSG00000015475,1933,1327,1569,1106,2288,1683,1823,1034,2594,1136,3096,1121,1812,1140,2095,577,2021,1167,1881,785,3723,1128,3333,980,2586,830,1655,1049,2580,641,1304,931,3193,1126,2363,1498,2483,943,1476,1256,1942,1159,4492,625
ENSG00000015479,140,109,83,86,277,68,92,102,265,111,112,82,57,27,197,88,139,111,73,63,193,106,31,40,153,32,292,76,228,50,182,99,428,113,368,57,291,194,85,61,173,87,142,102
ENSG00000015520,48,6,463,0,994,7,3,7,681,13,191,4,17,10,104,3,436,7,14,5,3,1,9,0,132,4,9,12,762,2,2,3,1974,10,2,15,9,9,22,3,3,9,11,2
ENSG00000015532,1113,1040,747,439,1510,974,733,407,1475,908,1058,1054,669,472,1758,538,777,983,733,699,965,822,608,538,489,384,1166,736,681,548,1550,758,2904,1332,1951,772,1472,721,747,346,1083,772,1284,615
ENSG00000015568,0,0,0,0,1,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
ENSG00000015592,0,7,1,3,1,2,1,5,5,47,0,19,1,1,0,5,0,79,0,3,0,6,1,2,0,5,0,14,0,0,0,12,0,54,0,10,1,15,0,1,0,38,0,1
ENSG00000015676,4870,2230,1852,1659,3032,1743,2938,1762,6200,2599,2675,2312,2100,1703,3416,1559,2448,2534,2648,1396,3740,1671,1670,1531,2481,1086,5187,1868,2433,1086,2877,1716,4889,2683,6072,2085,3123,1985,3011,1684,2261,2135,5669,1338
ENSG00000016082,10,47,0,3,223,106,3,13,5,48,15,25,31,37,216,69,2,51,7,73,4,82,11,7,34,56,46,64,24,40,48,18,24,106,0,39,0,17,8,12,66,6,6,43
ENSG00000016391,2682,3431,2473,1462,3722,1317,2007,2609,4816,1402,3263,1895,763,406,3988,2870,2022,946,1833,2301,1316,1738,704,1624,773,318,2440,1015,2592,732,3535,807,2005,2576,4480,1555,1865,1630,2641,767,1474,2336,3533,1087
ENSG00000016402,1824,638,513,366,1337,642,889,482,1606,823,1571,436,808,637,5941,350,1602,410,702,281,2402,333,974,558,1146,302,1386,405,906,350,1383,249,5879,405,674,209,1590,803,1265,105,1260,695,2881,367
ENSG00000016490,4,94748,92939,149450,15161,30897,19122,117951,248,116664,1291,57425,96035,93832,62094,52413,6738,52565,2379,19718,10,70756,107707,91710,1014,55632,4208,33435,6234,40776,357840,86570,15633,49352,0,10333,102,84022,251,1730,89413,21913,863,26827
ENSG00000016602,16,240915,10835,103351,3869,29312,1564,308659,42,36282,5466,151055,97670,203099,302,347158,1,47330,256,34272,555,44830,177,156680,3302,39386,3291,106543,4311,73895,41,55759,11,5779,2,402717,213,8986,30,87673,10440,12066,75,70478
ENSG00000016864,1555,1424,1330,954,2084,1169,933,837,2250,1369,1194,1180,1582,1017,1893,724,872,1328,1130,854,2327,1099,1384,961,864,735,1889,1164,1626,1077,1419,1002,2094,1687,2177,1174,1859,1191,769,845,1815,1342,1619,762
ENSG00000017260,7255,5936,4254,3946,7611,4479,3664,4442,4528,3807,5410,5779,5564,3999,9347,6848,4657,3558,3718,4172,6433,4365,2773,3275,6303,2712,7437,5302,5542,4111,7546,3921,7677,5059,8230,3767,4680,3342,3042,2396,5347,3689,6558,4858
ENSG00000017427,25,144,80,147,44,150,8,106,30,171,52,95,163,180,15,31,125,127,6,100,23,55,85,154,105,90,36,122,128,148,13,60,13,109,15,226,80,111,8,298,56,175,23,43
ENSG00000017483,2321,568,5115,364,2428,200,3170,159,2890,309,2801,268,920,298,3016,144,2351,523,2989,202,1596,506,274,257,2102,186,188,216,1417,533,1271,255,4238,363,1512,162,146,176,839,153,387,215,6071,244
ENSG00000017797,3630,5062,2005,3020,2514,2428,1513,4391,2239,3552,3029,5575,3425,3131,2620,3900,1775,3145,1632,3269,1788,3789,1696,3758,2767,3007,3064,3859,1708,2646,4652,3811,4263,4412,2258,4802,2321,2606,1848,2150,3488,2987,2377,3104
ENSG00000018189,1188,1077,959,857,1646,577,906,683,1772,1252,1184,866,939,765,1273,768,1142,1270,700,650,1026,633,735,876,932,603,977,974,1376,417,932,871,2330,1541,1312,1307,2099,1426,1041,2051,1087,1566,1149,514
ENSG00000018236,595,176,60,164,19,84,6,42,74,535,1,240,55,62,1,94,26,816,4,260,7,189,14,104,8,183,34,317,6,19,1,505,4,645,3,336,18,167,0,635,9,237,1,118
ENSG00000018280,639,21,264,29,180,58,128,39,684,67,81,62,2428,111,89,36,30,40,80,24,65,24,110,25,97,166,142,57,234,48,63,82,264,74,851,1217,1050,94,38,8732,385,185,88,21
ENSG00000018408,1828,600,989,752,893,163,815,388,797,3407,950,1272,1262,889,357,1089,631,3126,252,900,517,286,351,720,215,1759,471,1355,625,398,100,1659,1374,2593,414,2923,1205,815,239,3080,613,1922,395,219
ENSG00000018510,6234,5103,3887,4380,3583,3269,3329,4509,4040,3685,4013,4841,5496,3607,7764,3228,3702,3860,2189,2442,6726,4048,2096,3754,4670,1997,5642,3518,5026,5765,4081,2760,5907,3542,4759,2810,4755,4079,3093,1343,4546,3906,4676,2878
ENSG00000018607,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ENSG00000018610,1750,1127,1203,866,1078,1492,1127,1189,1487,968,960,1201,653,718,1725,770,1628,1101,1744,734,3247,743,1174,1324,1157,287,1625,793,781,669,990,664,1333,826,2607,1523,2422,775,1048,525,852,1100,2516,563
ENSG00000018625,2,62,87,95,36,26,0,37,3,1515,3,651,22,34,9,328,4,2530,1,185,0,22,0,72,4,364,4,761,1,15,3,681,10,1981,1,1871,8,419,4,1395,6,987,0,51
ENSG00000018699,1653,595,663,596,1139,568,1048,598,1370,674,1216,545,712,292,1654,229,1010,721,848,345,2397,524,701,368,1980,297,1746,356,905,285,1068,488,1777,546,1601,299,2022,542,1055,291,1133,382,1498,238
ENSG00000018869,21,39,21,38,45,46,14,23,27,72,41,41,20,29,25,30,45,82,14,35,10,39,16,27,2,21,29,44,47,37,27,57,5,67,21,51,23,33,21,58,7,38,8,14
ENSG00000019102,1,14868,2878,6704,2798,27580,233,7312,57,8350,779,13102,6263,12026,2710,9305,14,6972,1114,7939,152,11482,3441,6890,369,7787,3009,10430,335,6220,5589,7738,44,10275,4,12550,146,5881,19,1229,3551,10954,79,9691
ENSG00000019144,1453,3269,1173,1652,1950,797,299,2326,2219,2275,1242,3450,1192,1150,914,3582,520,1900,596,2113,270,1372,165,1967,703,949,816,2498,1023,876,947,1175,2125,3057,479,3754,573,2296,439,3267,1053,2324,599,2628
ENSG00000019169,55,21,265,58,18,2,27,32,1491,254,1,9,238,21,0,56,5,451,1,50,32,13,2,80,0,41,3,85,10,2,0,36,0,177,154,2238,14,61,7,1949,28,89,2,7
ENSG00000019186,13,0,2,0,24,0,23,0,21,0,123,0,18,9,28,0,108,0,12,0,87,0,38,8,103,0,15,0,137,0,147,0,284,0,10,5,2,1,2,0,81,0,18,0
ENSG00000019485,573,208,330,187,222,49,125,200,594,367,501,197,108,144,276,185,419,468,244,102,178,150,145,170,210,183,363,228,444,79,473,290,1201,375,548,225,258,276,605,260,177,240,517,153
